2026 Season - All Meets & Assignments,,,,,,,,,,
,,,,,,,,,,
Week,Event,Date,Type,Lead,Color,,Producer,Status,Talent grooup chat ,Available Talent
Week 7,WINONA STATE: Feb 13 vs UW-Oshkosh - 6:00 PM CT,Feb 13,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 7,UW-WHITEWATER: Feb 14 vs UW-Stout - 4:00 PM CT,Feb 14,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 8,CORTLAND: Feb 21 vs Ithaca,Feb 21,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 8,Simpson vs Army,Feb 22,MAG,Yaroslav Pochinka,David Jessen,,Isaac,Open,,
Week 8,BROCKPORT: Feb 22 vs Utica University - 2:00 PM ET,Feb 22,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 9,SEMO: Feb 27 vs Long Island - 6:30 PM CT,Feb 27,WAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 9,AIR FORCE: Feb 28 vs Rocky Mountain Mavericks - 6:,Feb 28,MAG,n/a,n/a,,n/a,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 9,STANFORD: Feb 28 vs Stanford International Collegi,Feb 28,MAG,Josiah Eng,Eddie Penev,,Isaac,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 9,BROCKPORT: Feb 28 vs Greenville University - 12:00,Feb 28,WAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
Week 9,UW-WHITEWATER: Feb 28 vs Hamline University - 4:00,Feb 28,WAG,,,,,Open,,"ARNY Ferrando, Akash Modi, Andrea Maldonado, Ashlee Buhler, Baely, Brandon Briones, Brittany Buhler, Christian Marsh, Christina Chauvenet, David Jessen, Dillan King, Dylan Shepard, Eddie Penev, James Laurence Marden, Kelsey Boychuk, Kensley Behel, Kyle Abe, Mary Collier, Michael Rubin, Sara King, Silje Hildebrand, Tavia Smith, Theron Graham, Tiara DeTommaso, Zane Petras"
